ISTASYON_ID;ISTASYON_ADI;ISTASYON_SIRASI;BOYLAM;ENLEM
1;Aliağa;40;26.966944444444;38.788888888889
2;Biçerova;39;26.960277777778;38.749722222222
3;Hatundere;38;27.0175;38.69
4;Menemen;37;27.076666666667;38.603333333333
5;Egekent2;36;27.044444444444;38.560555555556
6;Ulukent;35;27.036111111111;38.548611111111
7;Egekent;34;27.046111111111;38.507222222222
8;Atasanayi;33;27.053333333333;38.498888888889
9;Çiğli;32;27.063055555556;38.491944444444
10;Mavişehir;31;27.084444444444;38.480555555556
11;Şemikler;30;27.090555555556;38.474166666667
13;Demirköprü;29;27.096666666667;38.467777777778
14;Nergiz;28;27.105277777778;38.459166666667
15;Karşıyaka;27;27.114444444444;38.457777777778
16;Alaybey;26;27.121666666667;38.460833333333
17;Naldöken;25;27.128333333333;38.464722222222
18;Turan;24;27.149722222222;38.466944444444
19;Bayraklı;23;27.164444444444;38.463888888889
20;Salhane;22;27.172222222222;38.450833333333
21;Halkapınar;21;27.1686315536499;38.4347996552305
34;Alsancak;20;27.147941;38.439451
35;Hilal;19;27.154366;38.425488
23;Kemer;18;27.155833333333;38.422222222222
24;Şirinyer;17;27.146944444444;38.393333333333
25;Koşu;16;27.1475;38.384166666667
26;İnkılap;15;27.141666666667;38.368888888889
27;Semt Garajı;14;27.136666666667;38.356944444444
28;Esbaş;13;27.136666666667;38.336111111111
29;Gaziemir;12;27.14;38.326388888889
30;Sarnıç;11;27.144722222222;38.311944444444
31;Adnan Menderes;10;27.148055555556;38.291111111111
32;Cumaovası;9;27.163055555556;38.2625
38;Develi;8;27.168056;38.203056
40;Tekeli;7;27.185556;38.181111
42;Pancar;6;27.239722;38.1975
43;Kuşçuburun;5;27.308889;38.209444
44;Torbalı;4;27.347222;38.169722
45;Tepeköy;3;27.361289;38.147222
47;Sağlık;2;27.4007623175;38.0846382978
50;Belevi;1;27.433056;38.030556
48;Selçuk;0;27.3730778585;37.9508674904
