"ISTASYON_ID","ISTASYON_ADI","ISTASYON_SIRASI","MESAFE"
"1","KAYMAKAMLIK","1","0"
"2","100. YIL CUMHURİYET ŞEHİTLİK","2","858"
"3","NARLIDERE İTFAİYE","3","1269"
"4","GÜZEL SANATLAR","4","756"
"5","DOKUZ EYLÜL ÜNİVERSİTESİ HASTANESİ ","5","1296"
"6","ÇAĞDAŞ","6","656"
"7","BALÇOVA","7","1029"
"8","FALTAY","8","1154"
"9","POLİGON","9","1386"
"10","GÖZTEPE","10","883"
"11","HATAY","11","1054"
"12","İZMİRSPOR","12","681"
"13","ÜÇYOL","13","990"
"14","KONAK","14","1546"
"15","ÇANKAYA","15","1048"
"16","BASMANE","16","775"
"17","HİLAL","17","1036"
"18","HALKAPINAR","18","1630"
"19","STADYUM","19","1364"
"20","SANAYİ","20","1175"
"21","BÖLGE","21","1205"
"22","BORNOVA","22","1053"
"23","ÜNİVERSİTE","23","1446"
"24","EVKA3","24","879"
