"ISTASYON_ID","ISTASYON_ADI","ISTASYON_SIRASI","MESAFE"
"1","ATAŞEHİR KAVŞAĞI","1","0"
"2","SEMRA AKSU","2","880"
"3","ESKİ HAVAALANI","3","430"
"4","YENİ MAHALLE","4","570"
"5","ÇİĞLİ BÖLGE HASTANESİ","5","445"
"6","ATA SANAYİ","6","576"
"7","EVKA - 5","7","527"
"8","KATİP ÇELEBİ ÜNİVERSİTESİ","8","1190"
"9","İAOSB NEDİM UYSAL LİSESİ","9","825"
"10","M. KEMAL ATATÜRK BULVARI","10","603"
"11","İAOSB MÜDÜRLÜĞÜ","11","796"
"12","KEMAL BAYSAK","12","583"
"13","NİHAT KARAKARTAL","13","875"
"14","NAZIM HİKMET RAN","14","578"
